phoneNumber,email,linkedId,linkPrecedence,createdAt,updatedAt,deletedAt
123456,lorraine@hillvalley.edu,,primary,2023-04-01T00:00:00,2023-04-01T00:00:00,
123456,mcfly@hillvalley.edu,1,secondary,2023-04-02T00:00:00,2023-04-02T00:00:00,
555111,doc@hillvalley.edu,,primary,2023-04-03T00:00:00,2023-04-03T00:00:00,
555111,emmett@fluxkart.com,3,secondary,2023-04-04T00:00:00,2023-04-04T00:00:00,
999888,biff@hillvalley.edu,,primary,2023-04-05T00:00:00,2023-04-05T00:00:00,
999888,tannen@hillvalley.edu,5,secondary,2023-04-06T00:00:00,2023-04-06T00:00:00,
919191,george@hillvalley.edu,,primary,2023-04-07T00:00:00,2023-04-07T00:00:00,
717171,biffsucks@hillvalley.edu,,primary,2023-04-08T00:00:00,2023-04-08T00:00:00,
222333,jennifer@hillvalley.edu,,primary,2023-04-09T00:00:00,2023-04-09T00:00:00,
222333,parker@hillvalley.edu,9,secondary,2023-04-10T00:00:00,2023-04-10T00:00:00,
444555,marty@hillvalley.edu,,primary,2023-04-11T00:00:00,2023-04-11T00:00:00,
444555,mcFly2@future.com,11,secondary,2023-04-12T00:00:00,2023-04-12T00:00:00,
777888,clara@hillvalley.edu,,primary,2023-04-13T00:00:00,2023-04-13T00:00:00,
777888,clayton@future.com,13,secondary,2023-04-14T00:00:00,2023-04-14T00:00:00,
666555,strickland@school.edu,,primary,2023-04-15T00:00:00,2023-04-15T00:00:00,
666555,principal@school.edu,15,secondary,2023-04-16T00:00:00,2023-04-16T00:00:00,
888999,goldie@hillvalley.edu,,primary,2023-04-17T00:00:00,2023-04-17T00:00:00,
888999,wilson@mayor.com,17,secondary,2023-04-18T00:00:00,2023-04-18T00:00:00,
101010,einstein@lab.com,,primary,2023-04-19T00:00:00,2023-04-19T00:00:00,
101010,dog@fluxkart.com,19,secondary,2023-04-20T00:00:00,2023-04-20T00:00:00,
